,Campus,Term,Course Code,Course Title,Course Description,Activity Type,Section,Credits,Days,Time,Building,Room,Instructor,Credit,GenEd Requirements,Registration Code,enrollCount,enrollMaximum,myPlanLink,index,mean,median,sd,fourpointo_per,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Start,End,prefix,Matched_Name,Name,Rating,Difficulty,Link,Department,Instructor Name,amount_learned_median,grading_techniques_median,instructors_contribution_median,instructors_effectiveness_median,instuctors_interest_median,the_course_as_a_whole_median,the_course_content_median,Clean_Course_Code,UUID
0,Seattle,Spring 2025,AFRAM  150,Introduction to African American History,Introductory survey of topics and problems in African American history with some attention to Africa as well as to America. Basic introductory course for sequence of lecture courses and seminars in African American history.,lecture,A,5,TTh,4:30 PM - 6:20 PM,CMU,326,Alekzandr Wray,5,SSc,10179,20,45,https://course-app-api.planning.sis.uw.edu/api/courses/AFRAM%20150/details,AFRAM150,3.4402234636871505,3.8,0.9678934999053111,35.754189944134076,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,6.0,12.0,7.0,13.0,16.0,23.0,64.0,16:30,18:20,AFRAM,No Match,,,,,,,,,,,,,,AFRAM150,AFRAM150ASpring2025
1,Seattle,Spring 2025,AFRAM  272,History of the South Since the Civil War,"Reconstruction and its aftermath, the Agrarian (Populist) revolt, disfranchisement and segregation, the effects of urbanization and subsequent depression, desegregation, and the struggle for civil rights. Examines the New South, the conflict of ideology with structural and material change, and the place of the South in contemporary America.",lecture,A,5,MW,4:30 PM - 6:20 PM,THO,135,Alekzandr Wray,5,"SSc, DIV",10180,13,45,https://course-app-api.planning.sis.uw.edu/api/courses/AFRAM%20272/details,AFRAM272,3.498757763975155,3.7,0.7649128215368873,31.67701863354037,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,6.0,3.0,1.0,0.0,7.0,1.0,8.0,2.0,12.0,11.0,16.0,17.0,12.0,51.0,16:30,18:20,AFRAM,No Match,,,,,,,,,,,,,,AFRAM272,AFRAM272ASpring2025
2,Seattle,Spring 2025,AFRAM  318,Black Literary Genres,"Considers how generic forms and conventions have been discussed and distributed in the larger context of African American, or other African diasporic literary studies. Links the relationship between generic forms to questions of power within social, cultural, and historical contexts.",lecture,A,5,TTh,1:30 PM - 3:20 PM,MGH,251,Sonnet H. Retman,5,"A&H, DIV",10181,40,40,https://course-app-api.planning.sis.uw.edu/api/courses/AFRAM%20318/details,AFRAM318,3.486666666666667,3.8,0.7526545614615572,47.77777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,3.0,4.0,0.0,2.0,5.0,5.0,4.0,4.0,1.0,43.0,13:30,15:20,AFRAM,Sonnet H. Retman,Sonnet Retman,4.6,2.3,https://www.ratemyprofessors.com/professor/2170554,Arts  Sciences,Sonnet H. Retman,4.85,4.78,4.91,4.69,4.85,4.78,4.78,AFRAM318,AFRAM318ASpring2025
3,Seattle,Spring 2025,AFRAM  330,"Music, Folklore, and Performance in Black Society","Focuses on cultural expressions created by people of African descent in the Unites States in the twentieth century, with an emphasis on music, folklore, dance, and humor.",lecture,A,5,TTh,4:00 PM - 5:20 PM,CHL,015,Sonnet H. Retman,5,A&H,10182,45,45,https://course-app-api.planning.sis.uw.edu/api/courses/AFRAM%20330/details,AFRAM330,3.54390243902439,3.8,0.6502215184090583,25.203252032520325,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,5.0,9.0,7.0,5.0,9.0,20.0,15.0,31.0,16:00,17:20,AFRAM,Sonnet H. Retman,Sonnet Retman,4.6,2.3,https://www.ratemyprofessors.com/professor/2170554,Arts  Sciences,Sonnet H. Retman,4.85,4.78,4.91,4.69,4.85,4.78,4.78,AFRAM330,AFRAM330ASpring2025
4,Seattle,Summer 2025,AES    150,"In-Justice for All: Intersection of Race, Ethnicity, Class, and Gender in the United States","Focusing on pre-Columbus era to 1970, students develop an understanding of how race, ethnicity, nationality, class, and gender impact all Americans - especially those viewed as racial ethnic minorities.",lecture,A,5,MTWThF,12:40 PM - 2:10 PM,CMU,226,Connie C. So,5,"DIV, SSc",10034,0,50,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20150/details,AES150,3.4,3.6,0.5710721992796738,8.148148148148149,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,10.0,6.0,6.0,4.0,8.0,17.0,8.0,20.0,21.0,25.0,18.0,30.0,49.0,43.0,58.0,64.0,69.0,86.0,94.0,92.0,66.0,12:40,14:10,AES,Connie C. So,Connie So,3.4,3.4,https://www.ratemyprofessors.com/professor/436830,Ethnic Studies,Connie C. So,4.2266666667,4.0383333333,4.365,4.1933333333,4.2516666667,4.0066666667,4.2433333333,AES150,AES150ASummer2025
5,Seattle,Summer 2025,AES    151,"Identities, Cultures, and Power Across American Ethnic Groups","Provides an introduction to the major theories, debates, and issues concerning the study of identities and cultures of American ethnic groups as they are constituted through relationships of power.",lecture,A,5,MTWThF,10:50 AM - 12:30 PM,SMI,105,David Palaita,5,"DIV, SSc",10035,0,50,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20151/details,AES151,3.4030797101449277,3.7,0.8488107243786485,24.637681159420293,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,8.0,4.0,5.0,3.0,8.0,8.0,5.0,7.0,5.0,6.0,16.0,13.0,16.0,10.0,23.0,44.0,32.0,45.0,60.0,64.0,136.0,10:50,12:30,AES,No Match,,,,,,,,,,,,,,AES151,AES151ASummer2025
6,Seattle,Spring 2025,AES    212,Comparative American Ethnic Literature,"Reviews selected texts by African American, American Indian, Asian American, Chicano/Latino, and Euro American writers. Includes a comparison of how texts envision and interpret a diverse American culture and social, political relations among peoples of the United States. Explores the power of cultural agency in the creation of America's literature.",lecture,A,5,TTh,1:30 PM - 3:20 PM,MLR,301,Vince Schleitwiler,5,"A&H, SSc, DIV",10169,31,100,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20212/details,AES212,3.4376777251184834,3.8,0.9322943773784691,34.12322274881517,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,7.0,3.0,3.0,10.0,7.0,5.0,11.0,13.0,16.0,22.0,25.0,32.0,40.0,42.0,144.0,13:30,15:20,AES,Vince Schleitwiler,Vince Schleitwiler,4.8,2.5,https://www.ratemyprofessors.com/professor/2689761,Literature,Vince Schleitwiler,4.035,4.0216666667,4.3616666667,4.3633333333,4.3166666667,4.2716666667,4.0166666667,AES212,AES212ASpring2025
7,Seattle,Summer 2025,AES    220,Comparative American Ethnic Cinema,"Explores selected works of Black, Asian American, Chicanx/Latinx, and/or Indigenous cinema and related media, from an interdisciplinary comparative/relational approach. Examines their historical connections to the intellectual, political, and aesthetic traditions of ethnic studies.",lecture,A,5,MTWThF,10:50 AM - 1:00 PM,CMU,326,Vince Schleitwiler,5,"A&H, SSc, DIV",10036,0,45,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20220/details,AES220,3.4902439024390244,4.0,1.0344799277895174,51.21951219512195,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,21.0,10:50,13:00,AES,Vince Schleitwiler,Vince Schleitwiler,4.8,2.5,https://www.ratemyprofessors.com/professor/2689761,Literature,Vince Schleitwiler,4.035,4.0216666667,4.3616666667,4.3633333333,4.3166666667,4.2716666667,4.0166666667,AES220,AES220ASummer2025
8,Seattle,Spring 2025,AES    340,"Race, Ethnicity, and Education                                                                                          ","Focuses on critical social and political dimensions of race and ethnicity as they relate to issues and practices of pedagogy and power in American education. Considers schooling as sites at which contemporary politics of diversity play out amidst increasingly diverse demographics of students, teachers, and parents.",lecture,A,5,TTh,12:30 PM - 2:20 PM,ECE,125,Tracy Castro-Gill,5,"SSc, DIV",10172,46,100,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20340/details,AES340,3.319397993311037,3.7,1.0048502636232253,20.066889632107024,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,2.0,0.0,3.0,2.0,4.0,5.0,0.0,8.0,9.0,5.0,8.0,15.0,19.0,17.0,32.0,39.0,36.0,60.0,12:30,14:20,AES,No Match,,,,,,,,,,,,,,AES340,AES340ASpring2025
9,Seattle,Summer 2025,AES    389,"Race, Gender, and Sexuality in the Media                                                                                ","Introduction to media representations of gender, race, and sexuality.",lecture,A,5,,,,,None,5,"SSc, DIV",10037,0,5,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20389/details,AES389,3.4586206896551723,3.8,0.9170858047996608,34.48275862068966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,10.0,,,AES,No Match,,,,,,,,,,,,,,AES389,AES389ASummer2025
